b'0,260\r\n
b'0,260\r\n
b'0,260\r\n
b'1,260\r\n
b'1,260\r\n
b'1,260\r\n
b'2,260\r\n
b'2,260\r\n
b'2,260\r\n
b'3,260\r\n
b'41,268\r\n
b'108,451\r\n
b'183,516\r\n
b'258,496\r\n
b'333,429\r\n
b'408,393\r\n
b'483,348\r\n
b'558,304\r\n
b'633,277\r\n
b'708,272\r\n
b'783,371\r\n
b'858,558\r\n
b'933,581\r\n
b'1008,539\r\n
b'1091,466\r\n
b'1175,381\r\n
b'1258,332\r\n
b'1341,312\r\n
b'1425,313\r\n
b'1508,522\r\n
b'1592,591\r\n
b'1675,556\r\n
b'1758,474\r\n
b'1842,404\r\n
b'1925,355\r\n
b'2009,313\r\n
b'2092,275\r\n
b'2174,426\r\n
b'2258,534\r\n
b'2341,519\r\n
b'2425,455\r\n
b'2508,406\r\n
b'2591,347\r\n
b'2675,314\r\n
b'2758,286\r\n
b'2842,378\r\n
b'2925,551\r\n
b'3008,582\r\n
b'3092,514\r\n
b'3175,447\r\n
b'3259,369\r\n
b'3342,329\r\n
b'3425,308\r\n
b'3509,380\r\n
b'3592,487\r\n
b'3676,469\r\n
b'3759,394\r\n
b'3842,341\r\n
b'3926,291\r\n
b'4008,256\r\n
b'4092,245\r\n
b'4175,260\r\n
b'4258,425\r\n
b'4342,456\r\n
b'4425,412\r\n
b'4508,366\r\n
b'4592,324\r\n
b'4675,286\r\n
b'4759,262\r\n
b'4842,242\r\n
b'4925,365\r\n
b'5009,462\r\n
b'5092,468\r\n
b'5176,409\r\n
b'5259,368\r\n
b'5342,320\r\n
b'5426,286\r\n
b'5509,265\r\n
b'5593,248\r\n
b'5676,304\r\n
b'5758,438\r\n
b'5842,474\r\n
b'5925,437\r\n
b'6009,404\r\n
b'6092,363\r\n
b'6175,323\r\n
b'6259,303\r\n
b'6342,285\r\n
b'6426,351\r\n
b'6509,462\r\n
b'6592,485\r\n
b'6676,442\r\n
b'6759,399\r\n
b'6843,356\r\n
b'6926,316\r\n
b'7009,289\r\n
b'7093,271\r\n
b'7176,284\r\n
b'7260,422\r\n
b'7343,466\r\n
b'7426,451\r\n
